OBJECTID,STATION,Shape_STArea__,Shape_STLength__,Shape__Area,Shape__Length
1,1,28498684.4015732,26849.44430536,5290298.09765625,11565.4330542936
2,11,2156784.92857515,6643.79457754,400543.44140625,2863.49298232604
3,11,69882020.5403973,50460.67594365,12980227.5078125,21743.7023349772
4,12,105734923.512124,68669.01407252,19582411.984375,29553.4175770649
5,14,95347332.5764388,47844.85545672,17723149.8085938,20630.9982764677
6,15,118569969.837456,52307.47488829,22042345.8320313,22550.5520964284
7,16,80837880.8914741,51499.69038973,15008923.9921875,22190.8269894274
8,17,106630985.655324,51754.61404001,19763291.3984375,22280.8639188521
9,19,72718738.5918798,41164.12484307,13499371.4453125,17742.7019265044
10,2,74931350.4887228,50680.77831073,13928804.3867188,21863.34399184
11,20,86430196.1531706,43680.55622248,16079620.1757813,18839.2537600935
12,21,118451036.730869,51244.00729785,21957344.8398438,22066.3676232733
13,22,104937982.640693,49300.83171545,19461172.359375,21235.2914105332
14,27,121085709.80239,58173.76201126,22422321.9882813,25029.7326672443
15,28,109045693.270923,50511.3716535,20199299.515625,21748.1062410596
16,4,57287202.0244466,40326.63613623,10640967.7382813,17383.099806005
17,5,44416613.3750227,32684.97230452,8237971.046875,14078.0717236249
18,6,51381230.4941272,36618.83299094,9535635.37109375,15765.3233428421
19,7,64434286.0346301,43643.59941192,11955272.5625,18795.7038326358
20,8,58152406.7590827,35508.78877685,10786366.390625,15287.1567694968
